Code;Name;Area;Population
FI2;Åland;1581;30344
FI20;Åland;1581;30344
LI;Liechtenstein;160;39308
LI0;Liechtenstein;160;39308
LI00;Liechtenstein;160;39308
ES63;Ciudad de Ceuta;20;82513
ES64;Ciudad de Melilla;14;83236
ITC2;Valle d'Aosta/Vallée d'Aoste;3261;123360
EL41;Voreio Aigaio;3848;195229
EL62;Ionia Nisia;2301;204081
PT2;Região Autónoma dos Açores (PT);2322;236488
PT20;Região Autónoma dos Açores (PT);2322;236488
PT3;Região Autónoma da Madeira (PT);802;251182
PT30;Região Autónoma da Madeira (PT);802;251182
EL53;Dytiki Makedonia;9462;253954
ITF2;Molise;4461;292150
BE34;Prov. Luxembourg (BE);4461;294400
AT11;Burgenland (AT);3964;297583
FRY5;Mayotte;367;299022
ES23;La Rioja;5045;315916
EL54;Ipeiros;9152;319206
EL42;Notio Aigaio;5311;327517
FRM;Corse;8726;348830
FRM0;Corse;8726;348830
CH07;Ticino;2812;352181
FRY2;Martinique;1108;352205
NL34;Zeeland;1935;386767
AT34;Vorarlberg;2602;401674
FRY1;Guadeloupe;1685;407810
BE31;Prov. Brabant wallon;1097;410619
NL23;Flevoland;2413;434771
PT15;Algarve;4997;465701
NL13;Drenthe;2680;497743
BE35;Prov. Namur;3676;503408
MT;Malta;316;520971
MT0;Malta;316;520971
MT00;Malta;316;520971
ITH1;Provincia Autonoma di Bolzano/Bozen;7398;532616
DEB2;Trier;4926;536772
ITH2;Provincia Autonoma di Trento;6207;540958
AT32;Salzburg;7154;562606
AT21;Kärnten;9537;564513
ES13;Cantabria;5326;584368
NL11;Groningen;2405;590170
DK05;Nordjylland;7879;591740
EL43;Kriti;8346;623633
LU;Luxembourg;2595;645397
LU0;Luxembourg;2595;645397
LU00;Luxembourg;2595;645397
NL12;Friesland (NL);3997;654019
DE5;Bremen;420;676463
DE50;Bremen;420;676463
SK01;Bratislavský kraj;2053;723714
HR05;Grad Zagreb;641;766824
HR06;Sjeverna Hrvatska;8028;785699
LT01;Sostines regionas;9730;817950
CH06;Zentralschweiz;4482;833178
DK02;Sjælland;7224;843513
ITI2;Umbria;8464;858812
FRY4;La Réunion;2504;869993
BE22;Prov. Limburg (BE);2429;888913
CY;Cyprus;9253;904705
CY0;Kypros;9253;904705
CY00;Kypros;9253;904705
PL52;Opolskie;9412;928070
DEC;Saarland;2571;982348
DEC0;Saarland;2571;982348
SI04;Zahodna Slovenija;7840;1003393
DE72;Gießen;5382;1050765
DED5;Leipzig;3978;1057609
DE24;Oberfranken;7232;1061929
CZ04;Severozápad;8649;1082108
BE33;Prov. Liège;3858;1116087
DE23;Oberpfalz;9691;1116741
NL42;Limburg (NL);2209;1118302
NL21;Overijssel;3421;1171910
BE24;Prov. Vlaams-Brabant;2118;1173956
CZ08;Moravskoslezsko;5430;1177989
CH03;Nordwestschweiz;1958;1191939
ITH4;Friuli-Venezia Giulia;7862;1194647
CZ07;Strední Morava;9235;1195362
BE25;Prov. West-Vlaanderen;3167;1210822
DE73;Kassel;8288;1217688
ES53;Illes Balears;4990;1223980
BE1;Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;162;1228655
BE10;Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest;162;1228655
CZ01;Praha;496;1275406
DE26;Unterfranken;8530;1320513
HU12;Pest;6391;1325036
BE32;Prov. Hainaut;3814;1354667
NL31;Utrecht;1449;1369873
DED4;Chemnitz;6528;1402126
ITI3;Marche;9401;1487150
DEB1;Koblenz;8075;1503189
ITC3;Liguria;5416;1509227
BE23;Prov. Oost-Vlaanderen;3009;1545469
CH04;Zürich;1728;1564662
DED2;Dresden;7944;1583267
DE91;Braunschweig;8116;1591424
CH01;Région lémanique;8717;1685625
HU11;Budapest;525;1706851
FI1B;Helsinki-Uusimaa;9568;1714741
NL1;Noord-Nederland;9082;1741932
DE25;Mittelfranken;7243;1777143
DE6;Hamburg;755;1853935
DE60;Hamburg;755;1853935
DK01;Hovedstaden;2559;1867948
DE14;Tübingen;8917;1876055
BE21;Prov. Antwerpen;2876;1890627
DE27;Schwaben;9991;1917979
FRF1;Alsace;8329;1930273
AT13;Wien;415;1931593
DEA4;Detmold;6524;2057480
DEB3;Rheinhessen-Pfalz;6852;2066524
NL22;Gelderland;5137;2110472
DE92;Hannover;9065;2149859
ES21;País Vasco;7229;2176918
ES7;Canarias;7447;2252237
ES70;Canarias;7447;2252237
RO32;Bucuresti - Ilfov;1804;2268268
DE13;Freiburg;9355;2285156
SE11;Stockholm;7153;2415139
NL41;Noord-Brabant;5082;2592874
DEA3;Münster;6918;2631237
DE12;Karlsruhe;6917;2812482
PT17;Área Metropolitana de Lisboa;3015;2869627
NL32;Noord-Holland;3403;2909827
HU1;Közép-Magyarország;6916;3031887
PL91;Warszawski stoleczny;6104;3108755
DEA5;Arnsberg;8012;3565239
DE3;Berlin;891;3677472
DE30;Berlin;891;3677472
NL4;Zuid-Nederland;7291;3711176
NL33;Zuid-Holland;3247;3753944
EL3;Attiki;3817;3806550
EL30;Attiki;3817;3806550
DE71;Darmstadt;7445;4026564
DEA2;Köln;7365;4472956
